event_date,event_timestamp,event_name,event_params.key,event_params.value.string_value,event_params.value.int_value,event_params.value.float_value,event_params.value.double_value,event_previous_timestamp,event_value_in_usd,event_bundle_sequence_id,event_server_timestamp_offset,user_id,user_pseudo_id,privacy_info.analytics_storage,privacy_info.ads_storage,privacy_info.uses_transient_token,user_properties.key,user_properties.value.string_value,user_properties.value.int_value,user_properties.value.float_value,user_properties.value.double_value,user_properties.value.set_timestamp_micros,user_first_touch_timestamp,user_ltv.revenue,user_ltv.currency,device.category,device.mobile_brand_name,device.mobile_model_name,device.mobile_marketing_name,device.mobile_os_hardware_model,device.operating_system,device.operating_system_version,device.vendor_id,device.advertising_id,device.language,device.is_limited_ad_tracking,device.time_zone_offset_seconds,device.web_info.browser,device.web_info.browser_version,geo.continent,geo.sub_continent,geo.country,geo.region,geo.city,geo.metro,app_info.id,app_info.version,app_info.install_store,app_info.firebase_app_id,app_info.install_source,traffic_source.medium,traffic_source.name,traffic_source.source,stream_id,platform,event_dimensions.hostname,ecommerce.total_item_quantity,ecommerce.purchase_revenue_in_usd,ecommerce.purchase_revenue,ecommerce.refund_value_in_usd,ecommerce.refund_value,ecommerce.shipping_value_in_usd,ecommerce.shipping_value,ecommerce.tax_value_in_usd,ecommerce.tax_value,ecommerce.unique_items,ecommerce.transaction_id,items.item_id,items.item_name,items.item_brand,items.item_variant,items.item_category,items.item_category2,items.item_category3,items.item_category4,items.item_category5,items.price_in_usd,items.price,items.quantity,items.item_revenue_in_usd,items.item_revenue,items.item_refund_in_usd,items.item_refund,items.coupon,items.affiliation,items.location_id,items.item_list_id,items.item_list_name,items.item_list_index,items.promotion_id,items.promotion_name,items.creative_name,items.creative_slot,date
20210121.0,2021-01-21 06:20:00,page_view,engagement_time_msec,,13.0,,,,,-307340413.0,,,1605951.6059719725,,,No,,,,,,,1611210000000000.0,0.0,USD,mobile,Apple,<Other>,<Other>,,iOS,<Other>,,,en-us,No,,Safari,<Other>,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,(none),(direct),(direct),2100450278.0,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-21
20210121.0,2021-01-21 06:20:00,page_view,page_referrer,,,,,,,-311704457.0,,,1605951.6059719725,,,No,,,,,,,1611210000000000.0,0.0,USD,mobile,Apple,<Other>,<Other>,,iOS,<Other>,,,en-us,No,,Safari,<Other>,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,(none),(direct),(direct),2100450278.0,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-21
20210129.0,2021-01-29 22:40:00,view_promotion,ga_session_number,,1.0,,,,,-6653755973.0,,,2163283.4364849087,,,No,,,,,,,1611960000000000.0,0.0,USD,desktop,Google,Chrome,<Other>,,Windows,Windows 10,,,,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,(none),(direct),(direct),2100450278.0,WEB,,,,,,,,,,,1.0,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),,,,,,,,(not set),(not set),(not set),(not set),(not set),Slide 1,(not set),Reach New Heights,Front Page Carousel,(not set),2021-01-29
20210103.0,2021-01-03 18:53:20,session_start,page_location,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,,,,-6411002457.0,,,3886972.156003056,,,No,,,,,,,1609700000000000.0,0.0,USD,desktop,Apple,Safari,<Other>,,Web,<Other>,,,en-us,No,,Safari,<Other>,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,<Other>,<Other>,<Other>,2100450278.0,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-03
20210113.0,2021-01-13 15:00:00,first_visit,page_location,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,,,,1236656593.0,,,5057241.750802935,,,No,,,,,,,1610550000000000.0,0.0,USD,mobile,Google,Pixel 3,<Other>,,Android,<Other>,,,en-us,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,organic,(organic),google,2100450278.0,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-13
20210117.0,2021-01-17 19:00:00,page_view,entrances,,1.0,,,,,-5200104759.0,,,6475141.654587744,,,No,,,,,,,1610910000000000.0,0.0,USD,desktop,Apple,Safari,<Other>,,Web,Intel 10.15,,,es-es,No,,Safari,14.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,organic,(organic),google,2100450278.0,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-17
20210116.0,2021-01-16 06:53:20,user_engagement,session_engaged,0,,,,,,-2956234537.0,,,7048148.009594872,,,No,,,,,,,1610770000000000.0,0.0,USD,desktop,Google,Chrome,<Other>,,Web,10,,,,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,referral,(referral),shop.googlemerchandisestore.com,2100450278.0,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16
20210131.0,2021-01-31 08:00:00,session_start,ga_session_id,,1085011694.0,,,,,-9705040760.0,,,11717984.943483878,,,No,,,,,,,1612080000000000.0,0.0,USD,mobile,Samsung,<Other>,<Other>,,Web,10,,,,No,,Chrome,86.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,organic,(organic),google,2100450278.0,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-31
20210108.0,2021-01-08 04:26:40,view_promotion,session_engaged,1,,,,,,-2904941205.0,,,30900021.323378697,,,No,,,,,,,1602030000000000.0,0.0,USD,mobile,<Other>,<Other>,<Other>,,Android,Android 9,,,,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,(none),(direct),(direct),2100450278.0,WEB,,,,,,,,,,,1.0,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),,,,,,,,(not set),(not set),(not set),(not set),(not set),Slide 1,(not set),Reach New Heights,Front Page Carousel,(not set),2021-01-08
20210128.0,2021-01-29 00:26:40,scroll,source,shop.googlemerchandisestore.com,,,,,,-6399212118.0,,,51332807.244621195,,,No,,,,,,,1611880000000000.0,0.0,USD,desktop,Google,Chrome,<Other>,,Web,10,,,en-us,No,,Chrome,87.0,Asia,Western Asia,Qatar,Doha,Doha,(not set),,,,,,<Other>,<Other>,<Other>,2100450278.0,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-29
